image_name,prompt,source
item_0.png,"scully and mulder from x files dancing in a futuristic disco, fine delicate prefect face features gaze, sacred, epic composition, powerful, intricate, elegant, highly detailed, smooth, sharp focus, award - winning, masterpiece, 4 k hd illustrative wallpaper, style of tom bagshaw, cedric peyravernay, peter mohr ",diffusiondb/stable-diffusion
item_1.png,"cute fumo plush anime girl goth ethereal ghastly kimono wraith lit by a flashlight watching a movie, hearts < 3, wisps vortices of fiery smoke swallowing the frame, grainy and fine detailed, bokeh f / 2. 5, sepia vignette, black and white, vray, artstation ",diffusiondb/stable-diffusion
item_2.png,"photo of a chicken wearing new balance sneaker, medium format, coloured analog photography, by tyler mitchell ",diffusiondb/stable-diffusion
item_3.png,"princess zelda! ; by james jean, charlie bowater, tom bagshaw, nikolay makovsky, melanie delon : : enchanting, ethereal, magical, glowing, sparkle, iridescent, flowerpunk, portrait, character design, illustration, hyperrealism, photorealism, digital art, concept art, dark fantasy, weta, wlop, artstation ",diffusiondb/stable-diffusion
item_4.png,"dreamlike nightmare oil painting cute fumo plush girl in tattered ghostly robes with burning halo of light, the flooded watchtower of a fallen civilization in a deep cavern, washed out melting paint sea, glowing wisps volumetric smoke, complementary sepia colors, wet canvas, deep focal depth f / 2. 8 captured on canon eos r 6, vray ",diffusiondb/stable-diffusion
item_5.png,"dreamlike nightmare oil painting cute fumo plush girl in tattered ghostly robes with burning halo of light, the flooded watchtower of a fallen civilization in a deep cavern, washed out melting paint sea, glowing wisps volumetric smoke, complementary sepia colors, wet canvas, deep focal depth f / 2. 8 captured on canon eos r 6, vray ",diffusiondb/stable-diffusion
item_6.png,"vanishing point symmetry!! a close - up octane render of magic dragon egg, stephen bliss, misty, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, minimalist, detailed and intricate environment ",diffusiondb/stable-diffusion
item_7.png,"overwatch favela facades, in watercolor gouache detailed paintings, front view, photoscans, exterior, architecture, flat, uv, insanely detailed, artstation ",diffusiondb/stable-diffusion
item_8.png,"front view overwatch favela facades, cyberpunk, in watercolor gouache detailed paintings, futuristic, props, textural, exterior, architecture, insanely detailed ",diffusiondb/stable-diffusion
item_9.png,aztec design sneakers ,diffusiondb/stable-diffusion
item_10.png,abstract futuristic design sneakers ,diffusiondb/stable-diffusion
item_11.png,unconfortable design sneakers ,diffusiondb/stable-diffusion
item_12.png,armani design sneakers ,diffusiondb/stable-diffusion
