image_name,prompt,source
person_0.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, clamp, madhouse, directed by tatsuo sato, stylish, intense, intricate, whimsical ",diffusiondb/stable-diffusion
person_1.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, clamp, madhouse, directed by tatsuo sato, stylish, intense, intricate, whimsical ",diffusiondb/stable-diffusion
person_2.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, clamp, madhouse, directed by tatsuo sato, stylish, intense, intricate, highly detailed, whimsical ",diffusiondb/stable-diffusion
person_3.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, clamp, madhouse, directed by tatsuo sato, stylish, intense, intricate, highly detailed, whimsical ",diffusiondb/stable-diffusion
person_4.png,"a romatic charming prince of legends character, victorian era dresses, royall, masterpiece, symmetrical, rose frame, maximalist, cg animation, riot enterainment, arcane,, realistic, hyper detailed, character select portrait, by artgerm, kyoung hwan kim, loish, drew struzan, 3 d ",diffusiondb/stable-diffusion
person_5.png,"an ai art generator not cooperating with me to create oranges that have acne, or me the human failing to create the right prompt to bring acne oranges into existence ",diffusiondb/stable-diffusion
person_6.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt and gray converse boots, art by nobutake ito, toru hishiyama, takehiko inoue, inio asano, clamp, madhouse, directed by tatsuo sato, stylish, intense,",diffusiondb/stable-diffusion
person_7.png,"cinestill 4 0 0 photograph of a cyber punk girl with pink dreads wearing goggles, epic portrait by stanley artgerm, and, by beeple, god ray, ray tracing, lens flair ",diffusiondb/stable-diffusion
person_8.png,"a person firing from a flamethrower napalm fire, film footage porta 4 0 0 golden, desert epic burst of fire, cinematic contrast bloomy shot ",diffusiondb/stable-diffusion
person_9.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, cyan miniskirt, gray converse boots, art by nobutake ito, toru hishiyama, takehiko inoue, inio asano, clamp, madhouse, directed by tatsuo sato, stylish, intricate, whimsical",diffusiondb/stable-diffusion
person_10.png,"an ai art generator not cooperating with me to create oranges that have acne, or me the human failing to create the right prompt to bring acne oranges into existence, hyperrealistic photograph ",diffusiondb/stable-diffusion
person_11.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt, wearing gray converse boots, art by nobutake ito, tatsuo sato, toru hishiyama, takehiko inoue, inio asano, clamp, madhouse, stylish, intricate, whimsical",diffusiondb/stable-diffusion
person_12.png,a beautiful young man has colorful tattoos on his arms. the tattoo ink glows in the dark. beautiful. dark room. ,diffusiondb/stable-diffusion
person_13.png,"8 year old anime girl with light brown hair standing on stairs at school holding blue sports bottle with straw, wearing navy blue jacket over white shirt, wearing cyan miniskirt, wearing gray converse boots, art by nobutake ito, tatsuo sato, toru hishiyama, takehiko inoue, clamp, madhouse, stylish, intricate, whimsical ",diffusiondb/stable-diffusion
person_14.png,"glowwave portrait of jack sparrow in borderlands 3, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart. ",diffusiondb/stable-diffusion
person_15.png,"sleepy man portrait, in the style of pop art, by andy warhol 1 9 8 7 ",diffusiondb/stable-diffusion
person_16.png,"a renaissance portrait painting of pepe the frog, in the style of rembrandt van rijn and matt furie and neo - baroque ",diffusiondb/stable-diffusion
person_17.png,"a church medieval portrait painting of pepe the frog, in the style of rembrandt van rijn and neo - baroque ",diffusiondb/stable-diffusion
person_18.png,"cute fumo plush wraith girl lit by a flashlight, grainy found footage, trail cam footage, bokeh f / 2. 5, vray ",diffusiondb/stable-diffusion
person_19.png,"cute fumo plush wraith girl lit by a flashlight, grainy found footage, trail cam footage, bokeh f / 2. 5, vray ",diffusiondb/stable-diffusion
person_20.png,"quiet daytime, incredibly detailed photographic masterpiece, extreme closeup view through giant elaborate green art nouveau arch designed by mucha and william morris, a man swimming underwater, wave ripples, vivid caustics sunrise, reflections beautiful mastery of depth clarity symmetry, symmetrical, peter mohrbacher roger dean fenghua zhong ghibli ruan jia, happy bright natural colours ",diffusiondb/stable-diffusion
person_21.png,"cute fumo plush wraith girl lit by a flashlight, grainy found footage, sepia, trail cam footage, bokeh f / 2. 5, vray ",diffusiondb/stable-diffusion
person_22.png,"a woman carrying a super large sword behind her, cyberpunk art by greg rutkowski, cgsociety, space art, white background,, concept art, sci - fi ",diffusiondb/stable-diffusion
